chút chít
chút đỉnh
chuyên cần
chuyên chế
chuyên chính
chuyên chở
chuyên chú
chuyên dùng
chuyên đề
chuyên gia
chuyên hoá
chuyên khảo
chuyên khoa
chuyên môn
chuyên ngành
chuyên nghiệp
chuyên tâm
chuyên trách
chuyên tu
chuyên viên
chuyển bánh
chuyển biên
chuyển biến
chuyển bụng
chuyển chữ
chuyển dạ
chuyển di
chuyển dịch
chuyển đạt
chuyển động
chuyển giao
chuyển hoá
chuyển hướng
chuyển khoản
chuyển ngành
chuyển ngữ
chuyển nhượng
chuyển tiếp
chuyển tự
chuyển vần
chuyển vị
chuyến bay
chuyến trước
chuyện phiếm
chuyện tình
chuyện trò
chuyện vãn
chư tướng
chữ nghĩa
chữ trinh
chưa chừng
chửa hoang
chữa bịnh
chữa chạy
chữa thẹn
chứa chan
chứa chấp
chứa chất
chứa đựng
chức danh
chức dịch
chức năng
chức nghiệp
chức phận
chức quyền
chức trách
chức tước
chửi mắng
chưng bày
chưng cất
chưng diện
chưng hửng
chừng mực
chừng nào
chừng như
chững chạc
chứng bệnh
chứng bịnh
chứng chỉ
chứng dẫn
chứng giám
chứng khoán
chứng kiến
chứng minh
chứng nhân
chứng nhận
chứng thư
chứng thực
chương trình
chưởng ấn
chưởng bạ
chưởng khế
chưởng lý
chướng khí
chướng ngại
chướng tai
coi chừng
coi thường
còi xương
con chạch
con chiên
con hoang
con ngươi
con người
còn trinh
cong đuôi
cong queo
cổ truyền
cổ trướng
côn trùng
công chính
công chúa
công chúng
công danh
công đoàn
công giáo
công khai
công luân
công luận
công nghệ
công nghiệp
công nhân
công nhận
công pháp
công thức
công thương
công trái
công xuất
công xưởng
cồng kềnh
cống hiến
cốt truyện
cơ nghiệp
cung khai
cuối cùng
cuồn cuộn
cuồng nhiệt
cuồng tín
cuống cuồng
cười gượng
cười ngạo
cười tình
cương lĩnh
cương quyết
cương trực
cường đạo
cường quốc
cường tráng
cưỡng bức
cưỡng dâm
cưỡng đoạt
cướp biển
cửu chương
cửu tuyền
cựu truyền
dáng điệu
danh hiệu
danh nghĩa
danh ngôn
danh phẩm
danh phận
danh sách
danh thiếp
danh vọng
dành dành
dành giật
dành riêng
dặm nghìn
dặm trường
dặng hắng
dân chính
dân chúng
dân doanh
dân nghèo
dân nguyện
dân phong
dân phòng
dân quyền
dân thường
dẫn chứng
dẫn đường
dẫn nhiệt
dấp giọng
dầu phọng
dầu thánh
dấu giáng
dấu huyền
dấu ngoặc
dấu thánh
dấu thăng
dây chằng
dây chuyền
dây cương
dấy nghĩa
dễ thương
dễ thường
dềnh dang
dềnh dàng
di chuyển
di truyền
dị thường
dịch giọng
dịch hạch
dịch hoàn
dịch thuật
diêm điền
diêm sinh
diêm tiêu
diêm vương
diễm phúc
diễm tình
diễn biến
diễn dịch
diễn giải
diễn giảng
diễn nghĩa
diễn thuyết
diễn tiến
diễn viên
diễn xuất
diện kiến
diện tích
diện tiền
diếp xoăn
diệp thạch
diệt chủng
